,product_id,product_name,category_path,price
284,1285,Opticum AX-800,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV,82.99
285,1286,Opticum AX-1000,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV,59.99
286,1287,Philips SDV6226,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV,129.0
287,1288,Philips SDV5100,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV,119.0
288,1289,Philips SDV5225,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV,129.0
289,1290,Philips SDV5120,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV,169.0
290,1291,Philips SDV6224,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV,168.79
291,1292,Philips SDV8622,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV,189.0
292,1293,Hama 44292,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV,44.99
293,1294,Sencor SDA-500,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV,112.28
294,1295,Sencor SDA-600,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV,69.99
295,1296,Sencor SDA-630,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV,89.99
296,1297,Telmor DSP-860,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV,119.0
297,1298,Thomson ANT1410,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV,219.0
298,1299,Vivanco TVA 301,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV,109.0
299,1300,Vivanco TVA 501,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV,169.0
300,1301,Vivanco TVA 400,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV,149.0
301,1302,Vivanco TVA 500,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV,135.0
302,1303,Wiwa AN 220,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV,59.99
303,1304,Wiwa AN 200,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV,29.99
304,1305,One For All SV 9360,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV,111.99
305,1306,One For All SV 9215,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV,79.99
306,1307,One For All SV 9033,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV,59.99
307,1308,One For All SV 9143,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV,99.99
308,1309,One For All SV 9323,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV,94.53
309,1310,One For All SV 9125,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV,79.99
310,1311,One For All SV 9345,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV,189.99
311,1312,One For All SV 9335,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV,99.9
312,1313,Evolveo SHARK,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV,103.0
